# wavelen objCounts skyAndBiasCounts pixnum
6.764762814335260373e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.570000000000000000e+02
6.765317923165600405e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.580000000000000000e+02
6.765873004391610266e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.590000000000000000e+02
6.766428057977480421e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.600000000000000000e+02
6.766983083887370412e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.610000000000000000e+02
6.767538082085439783e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.620000000000000000e+02
6.768093052535869901e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.630000000000000000e+02
6.768647995202820312e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.640000000000000000e+02
6.769202910050459650e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.650000000000000000e+02
6.769757797042950187e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.660000000000000000e+02
6.770312656144479661e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.670000000000000000e+02
6.770867487319200336e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.680000000000000000e+02
6.771422290531279941e+03 6.195000000000000000e+02 0.000000000000000000e+00 2.690000000000000000e+02
6.771977065744889842e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.700000000000000000e+02
6.772531812924199585e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.710000000000000000e+02
6.773086532033369622e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.720000000000000000e+02
6.773641223036580413e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.730000000000000000e+02
6.774195885897989683e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.740000000000000000e+02
6.774750520581759702e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.750000000000000000e+02
6.775305127052080024e+03 6.220000000000000000e+02 0.000000000000000000e+00 2.760000000000000000e+02
6.775859705273100190e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.770000000000000000e+02
6.776414255208989744e+03 6.235000000000000000e+02 0.000000000000000000e+00 2.780000000000000000e+02
6.776968776823920052e+03 6.270000000000000000e+02 0.000000000000000000e+00 2.790000000000000000e+02
6.777523270082059753e+03 6.310000000000000000e+02 0.000000000000000000e+00 2.800000000000000000e+02
6.778077734947580211e+03 6.275000000000000000e+02 0.000000000000000000e+00 2.810000000000000000e+02
6.778632171384640060e+03 6.270000000000000000e+02 0.000000000000000000e+00 2.820000000000000000e+02
6.779186579357419760e+03 6.255000000000000000e+02 0.000000000000000000e+00 2.830000000000000000e+02
6.779740958830069758e+03 6.250000000000000000e+02 0.000000000000000000e+00 2.840000000000000000e+02
6.780295309766779610e+03 6.235000000000000000e+02 0.000000000000000000e+00 2.850000000000000000e+02
6.780849632131689759e+03 6.235000000000000000e+02 0.000000000000000000e+00 2.860000000000000000e+02
6.781403925888999765e+03 6.215000000000000000e+02 0.000000000000000000e+00 2.870000000000000000e+02
6.781958191002850072e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.880000000000000000e+02
6.782512427437420229e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.890000000000000000e+02
6.783066635156889788e+03 6.200000000000000000e+02 0.000000000000000000e+00 2.900000000000000000e+02
6.783620814125400102e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.910000000000000000e+02
6.784174964307139817e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.920000000000000000e+02
6.784729085666270294e+03 6.210000000000000000e+02 0.000000000000000000e+00 2.930000000000000000e+02
6.785283178166960170e+03 6.205000000000000000e+02 0.000000000000000000e+00 2.940000000000000000e+02
6.785837241773379901e+03 6.220000000000000000e+02 0.000000000000000000e+00 2.950000000000000000e+02
6.786391276449689940e+03 6.260000000000000000e+02 0.000000000000000000e+00 2.960000000000000000e+02
6.786945282160069837e+03 6.270000000000000000e+02 0.000000000000000000e+00 2.970000000000000000e+02
6.787499258868670040e+03 6.270000000000000000e+02 0.000000000000000000e+00 2.980000000000000000e+02
6.788053206539670100e+03 6.240000000000000000e+02 0.000000000000000000e+00 2.990000000000000000e+02
6.788607125137249568e+03 6.250000000000000000e+02 0.000000000000000000e+00 3.000000000000000000e+02
6.789161014625549797e+03 6.235000000000000000e+02 0.000000000000000000e+00 3.010000000000000000e+02
6.789714874968750337e+03 6.220000000000000000e+02 0.000000000000000000e+00 3.020000000000000000e+02
6.790268706131029830e+03 6.225000000000000000e+02 0.000000000000000000e+00 3.030000000000000000e+02
6.790822508076539634e+03 6.220000000000000000e+02 0.000000000000000000e+00 3.040000000000000000e+02
6.791376280769460209e+03 6.220000000000000000e+02 0.000000000000000000e+00 3.050000000000000000e+02
6.791930024173960192e+03 6.210000000000000000e+02 0.000000000000000000e+00 3.060000000000000000e+02
